City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sangar,63.9242,127.4739,-15.42,90,100,2.72,RU,1667064348
1,torbay,47.6666,-52.7314,11.82,59,20,10.29,CA,1667064348
2,port alfred,-33.5906,26.891,21.23,85,99,6.59,ZA,1667064348
3,hobart,-42.8794,147.3294,6.92,82,100,2.06,AU,1667064349
4,chokurdakh,70.6333,147.9167,-14.88,96,100,3.39,RU,1667064349
5,guerrero negro,27.9769,-114.0611,22.7,53,0,4.84,MX,1667064197
6,east london,-33.0153,27.9116,20.52,83,0,5.14,ZA,1667064350
7,olafsvik,64.8945,-23.7142,6.4,91,88,5.0,IS,1667064166
8,monrovia,6.3005,-10.7969,27.92,71,50,3.38,LR,1667064350
9,ushuaia,-54.8,-68.3,3.81,93,100,10.29,AR,1667064252
10,butaritari,3.0707,172.7902,27.31,69,45,7.62,KI,1667064351
11,carnarvon,-24.8667,113.6333,18.95,67,74,10.72,AU,1667064351
12,alcaniz,41.05,-0.1333,19.84,58,67,4.92,ES,1667064351
13,turukhansk,65.8167,87.9833,-5.06,95,100,7.17,RU,1667064096
14,alice springs,-23.7,133.8833,23.75,50,61,7.2,AU,1667064352
15,rutland,43.6167,-73.0162,16.81,37,0,0.45,US,1667064352
16,hauterive,46.0901,3.4459,23.42,45,87,2.92,FR,1667064352
17,lavrentiya,65.5833,-171.0,-5.84,79,100,5.93,RU,1667064353
18,kodiak,57.79,-152.4072,2.73,93,100,3.6,US,1667064353
19,kahului,20.8947,-156.47,26.58,75,20,4.47,US,1667064354
20,busselton,-33.65,115.3333,9.53,83,97,8.81,AU,1667064354
21,hualmay,-11.0964,-77.6139,19.57,68,87,3.92,PE,1667064354
22,portree,57.4129,-6.1942,13.62,80,96,3.62,GB,1667064355
23,port elizabeth,-33.918,25.5701,21.72,75,0,1.34,ZA,1667064355
24,port blair,11.6667,92.75,25.02,94,100,0.0,IN,1667064356
25,denpasar,-8.65,115.2167,25.81,78,20,1.03,ID,1667064356
26,mar del plata,-38.0023,-57.5575,17.19,61,40,6.17,AR,1667064356
27,salalah,17.0151,54.0924,27.05,69,40,1.03,OM,1667063701
28,castro,-24.7911,-50.0119,25.61,59,100,4.89,BR,1667064357
29,kapaa,22.0752,-159.319,23.39,92,8,4.49,US,1667064357
30,hermanus,-34.4187,19.2345,18.22,81,100,3.47,ZA,1667064358
31,thompson,55.7435,-97.8558,4.09,65,40,3.09,CA,1667064358
