City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tehri,30.3833,78.4833,14.41,39,0,2.31,IN,1670597973
1,pierre,44.3683,-100.351,-13.49,85,100,0.0,US,1670597882
2,teahupoo,-17.8333,-149.2667,20.98,77,62,3.51,PF,1670597974
3,mataura,-46.1927,168.8643,11.21,97,98,0.5,NZ,1670597974
4,jumla,29.2747,82.1838,4.9,46,0,2.39,NP,1670597975
5,hami,42.8,93.45,-2.22,37,100,2.92,CN,1670597975
6,sokolo,14.7328,-6.1219,34.9,8,0,5.01,ML,1670597975
7,qaanaaq,77.484,-69.3632,-17.01,94,80,2.7,GL,1670597976
8,port elizabeth,-33.918,25.5701,26.84,75,0,5.14,ZA,1670597976
9,rikitea,-23.1203,-134.9692,23.94,80,8,4.89,PF,1670597976
10,purranque,-40.9167,-73.1667,17.63,46,41,1.46,CL,1670597977
11,ushuaia,-54.8,-68.3,9.81,62,75,8.75,AR,1670597701
12,marmora,44.4583,7.094,2.4,100,100,1.74,IT,1670597977
13,puerto escondido,15.85,-97.0667,27.07,45,0,0.98,MX,1670597978
14,ulladulla,-35.35,150.4667,11.61,72,45,3.32,AU,1670597978
15,turayf,31.6725,38.6637,17.14,63,40,2.06,SA,1670597978
16,skjervoy,70.0311,20.9714,-2.0,64,19,8.33,NO,1670597979
17,saint-augustin,51.226,-58.6502,1.74,98,100,4.01,CA,1670597979
18,oudtshoorn,-33.5907,22.2014,22.2,57,85,2.41,ZA,1670597980
19,miraflores,19.2167,-98.8083,12.21,49,0,1.11,MX,1670597980
20,riyadh,24.6877,46.7219,19.08,58,95,3.87,SA,1670597972
21,dikson,73.5069,80.5464,-17.07,92,100,6.9,RU,1670597980
22,ribeira grande,38.5167,-28.7,17.22,77,40,12.96,PT,1670597981
23,beidao,34.5686,105.8933,4.84,44,100,1.31,CN,1670597981
24,jamestown,42.097,-79.2353,0.01,60,7,1.79,US,1670597981
25,mineiros,-17.5694,-52.5511,32.0,39,42,3.24,BR,1670597982
26,salyan,39.5936,48.9805,6.14,79,100,2.44,AZ,1670597982
27,bluff,-46.6,168.3333,11.45,94,52,1.84,NZ,1670597983
28,caravelas,-17.7125,-39.2481,28.29,79,24,2.08,BR,1670597983
29,busselton,-33.65,115.3333,12.41,84,0,4.29,AU,1670597983
30,avarua,-21.2078,-159.775,23.03,94,75,0.51,CK,1670597984
31,russell,32.3502,-85.1999,15.6,94,40,0.0,US,1670597984
32,codrington,-38.2667,141.9667,6.65,90,13,4.16,AU,1670597985
